ID   ,vi      ,surfaceTension ,radius ,cTime ,maxDeflection ,coefOfRestitution ,Density ,labcTime ,labcoefOfRestitution ,sigma_tc ,sigma_delta ,sigma_alpha
Null ,-0.4764 ,NaN            ,  2.38 ,NaN   ,       0.4901 ,NaN               ,   3.25 ,   3.959 ,              0.6354 , 0.07543 ,    0.01231 ,    0.01166
Null ,-0.4971 ,NaN            ,  2.38 ,NaN   ,       0.4956 ,NaN               ,   3.25 ,   3.929 ,              0.6048 , 0.07896 ,    0.01947 ,    0.02296
Null ,-0.5673 ,NaN            ,  2.38 ,NaN   ,       0.5727 ,NaN               ,   3.25 ,   3.934 ,              0.5885 , 0.08136 ,    0.02303 ,    0.01874
Null ,-0.6312 ,NaN            ,  2.38 ,NaN   ,       0.6387 ,NaN               ,   3.25 ,   3.920 ,              0.6109 , 0.12880 ,    0.03590 ,    0.01895
Null ,-0.6874 ,NaN            ,  2.38 ,NaN   ,       0.6938 ,NaN               ,   3.25 ,   3.932 ,              0.5999 , 0.06309 ,    0.02303 ,    0.01021
Null ,-0.7466 ,NaN            ,  2.38 ,NaN   ,       0.7434 ,NaN               ,   3.25 ,   3.924 ,              0.6058 , 0.07603 ,    0.02753 ,    0.01603
Null ,-0.3702 ,NaN            ,  2.38 ,NaN   ,       0.6773 ,NaN               ,   7.93 ,   6.640 ,              0.6095 , 0.19130 ,    0.02463 ,    0.04475
Null ,-0.4779 ,NaN            ,  2.38 ,NaN   ,       0.8535 ,NaN               ,   7.93 ,   6.815 ,              0.5708 , 0.08175 ,    0.03372 ,    0.02284
Null ,-0.5480 ,NaN            ,  2.38 ,NaN   ,       0.9471 ,NaN               ,   7.93 ,   6.685 ,              0.5649 , 0.07411 ,    0.01508 ,    0.01764
Null ,-0.6125 ,NaN            ,  2.38 ,NaN   ,       1.0520 ,NaN               ,   7.93 ,   6.586 ,              0.5519 , 0.05978 ,    0.03016 ,    0.01015
Null ,-0.6508 ,NaN            ,  2.38 ,NaN   ,       1.1230 ,NaN               ,   7.93 ,   6.509 ,              0.5779 , 0.16580 ,    0.04524 ,    0.04359
Null ,-0.7273 ,NaN            ,  2.38 ,NaN   ,       1.2170 ,NaN               ,   7.93 ,   6.494 ,              0.5711 , 0.10500 ,    0.02333 ,    0.01053
Null ,-0.7330 ,NaN            ,  2.38 ,NaN   ,       1.2330 ,NaN               ,   7.93 ,   6.504 ,              0.5607 , 0.04764 ,    0.01231 ,    0.02570
