ID,vi,surfaceTension,radius,cTime,maxDeflection,coefOfRestitution,Density,labcTime,labcoefOfRestitution
Fri133106,-0.6312,107,2.38,3.44875,0.6323907258,0.35008208293957,3.25,3.94875,0.350079669105735
Fri160732,-0.6312,107,2.38,3.335,0.6013723365,0.327446725529832,3.25,3.855,0.327441994415513
Fri175747,-0.6312,107,2.38,3.44875,0.6323907258,0.35008208293957,3.25,3.94875,0.350079669105735
Fri181748,-0.6312,107,2.38,3.44875,0.6323907258,0.35008208293957,3.25,3.94875,0.350079669105735
Fri181835,-0.6312,107,2.38,3.44875,0.6323907258,0.35008208293957,3.25,3.94875,0.350079669105735
Fri181911,-0.6312,107,2.38,3.44875,0.6323907258,0.35008208293957,3.25,3.94875,0.350079669105735
Fri182007,-0.6312,107,2.38,3.44875,0.6323907258,0.35008208293957,3.25,3.94875,0.350079669105735
Fri182038,-0.6312,107,2.38,3.44875,0.6323907258,0.35008208293957,3.25,3.94875,0.350079669105735
Fri182049,-0.6312,107,2.38,3.44875,0.6323907258,0.35008208293957,3.25,3.94875,0.350079669105735
Fri182354,-0.6312,107,2.38,3.4796875,0.6473796712,0.35994747115222,3.25,3.9896875,0.359946240096965
Fri182439,-0.6312,107,2.38,3.4796875,0.6473796712,0.35994747115222,3.25,3.9896875,0.359946240096965
Fri183223,-0.6312,107,2.38,3.4796875,0.6473796712,0.35994747115222,3.25,3.9896875,0.359946240096965
Fri183239,-0.6312,107,2.38,3.4796875,0.6473796712,0.35994747115222,3.25,3.9896875,0.359946240096965
Fri183329,-0.6312,107,2.38,3.4796875,0.6473796712,0.35994747115222,3.25,3.9896875,0.359946240096965
Fri183405,-0.6312,107,2.38,3.4796875,0.6473796712,0.35994747115222,3.25,3.9896875,0.359946240096965
Mon164627,-0.6312,107,2.38,3.363,0.6303429302,0.3640536570887,3.25,3.851,0.364055532168963
Mon170458,-0.6312,107,2.38,3.367,0.6289924848,0.360110821734662,3.25,3.859,0.360110346692162
Thu215410,-0.672375,5,1,4.22,0.9195344398,0.880014279924195,3.25,4.155,0.879151682448668
Sat153819,-0.6312,107,2.38,3.44875,0.6323907258,0.35008208293957,3.25,3.94875,0.350079669105735
Sat154018,-0.6312,107,2.38,3.42875,0.6323337104,0.35010210365332,3.25,3.94875,0.350099665681146
Sat155135,-0.6312,107,2.38,3.6975,0.4624383763,0.0661395002688207,3.25,4.8575,0.0661339001743206
Sat155500,-0.6312,107,2.38,3.6925,0.466832633,0.0682654871197349,3.25,4.8525,0.0682617537234013
Sun170134,-0.6312,107,2.38,3.44875,0.6323907258,0.35008208293957,3.25,3.94875,0.350079669105735,0
Sun180623,-0.6312,107,2.38,3.44875,0.6323907258,0.35008208293957,3.25,3.94875,0.350079669105735,0
Sun180646,-0.6312,107,2.38,3.44875,0.6323907258,0.35008208293957,3.25,3.94875,0.350079669105735,0
Sun182406,-0.6312,107,2.38,3.4796875,0.6473796712,0.35994747115222,3.25,3.9896875,0.359946240096965,0
Sun182853,-0.6312,107,2.38,3.4821875,0.6468718349,0.358049236436665,3.25,3.9971875,0.358048034045686,0.1
Sun205805,-0.6312,107,2.38,3.335,0.6009728192,0.32755601740016,3.25,3.855,0.327551286285841,0.1
Sun210852,-0.6312,107,2.38,3.15,0.543614239,0.319612940404263,3.25,3.55,0.319603285068918,0.1
Sun212128,-0.6312,107,2.38,3.335,0.6009728192,0.32755601740016,3.25,3.855,0.327551286285841,0.1
Mon220238,-0.6312,107,2.38,3.335,0.6009728192,0.32755601740016,3.25,3.855,0.327551286285841,0.1
Mon220432,-0.6312,107,2.38,3.335,0.6009728192,0.32755601740016,3.25,3.855,0.327551286285841,0.1
Tue090701,-0.6312,107,2.38,3.15,0.543614239,0.319612940404263,3.25,3.55,0.319603285068918,0.1
Tue090715,-0.6312,107,2.38,3.15,0.543614239,0.319612940404263,3.25,3.55,0.319603285068918,0.1
Tue113703,-0.6312,107,2.38,3.15,0.543614239,0.319612940404263,3.25,3.55,0.319603285068918,0.1
Tue114007,-0.6312,107,2.38,3.3833333333,0.6043930307,0.345482055267969,3.25,3.9166666667,0.345473472747662,0.1
Tue114132,-0.6312,107,2.38,3.34375,0.5999401308,0.33408794483627,3.25,3.84375,0.33408191025168,0.1
Tue131127,0,107,2.38,0,0,NaN,3.25,0,NaN,0.1
Tue131159,0,107,2.38,0,0,NaN,3.25,0,NaN,0.1
Tue131221,-0.7401518815,107,2.38,3.165,0.6911631489,0.837484900662857,3.25,3.085,0.835207324713092,0.1
Tue131321,-0.7401518815,107,2.38,3.165,0.6911631489,0.837484900662857,3.25,3.085,0.835207324713092,0.1
Tue131339,-0.7401518815,107,2.38,3.165,0.6916747177,0.850461062475372,3.25,3.085,0.848144976121532,0
Tue131440,-0.7401518815,107,2.38,3.04,0.5954695001,0.216286565414045,3.25,3.68,0.216282071346231,0.1
Tue131510,-0.739857682,107,2.38,3.1,0.6047461447,0.190733575389543,3.25,3.7,0.190729358849608,5
